2025-05-17 14:01:19.946 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/560324_100814320078990_2022128722_n.jpg'
2025-05-17 14:01:19.947 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/563917_101422753351480_1512781489_n.jpg'
2025-05-17 14:01:19.947 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/564039_100840550076367_1478379455_n.jpg'
2025-05-17 14:01:19.947 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/564102_101422550018167_1011096357_n.jpg'
2025-05-17 14:01:19.947 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/577248_100817056745383_677676156_n.jpg'
2025-05-17 14:01:19.947 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/579720_100833170077105_1628981485_n.jpg'
2025-05-17 14:01:19.947 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/60114_100832976743791_693671608_n.jpg'
2025-05-17 14:01:19.947 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/644482_100822330078189_637177803_n.jpg'
2025-05-17 14:01:19.947 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/68430_100817766745312_518493507_n.jpg'
2025-05-17 14:01:19.947 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/76876_100816853412070_1104283866_n.jpg'
2025-05-17 14:01:19.947 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: "/static/images/unsorted/A VIEW FROM KATARINA'S WINDOW,AESCHI,SWITZ..5-11-07.jpg"
2025-05-17 14:01:19.947 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/ABSTRACT.PLANTS.1983.jpg'
2025-05-17 14:01:19.958 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/ABSTRACTION-1983.jpg'
2025-05-17 14:01:19.958 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/ABSTRACTION-PLANTS.1983.jpg'
2025-05-17 14:01:19.958 | ERROR    | image_to_text:update_image_name_and_description:42 - Error updating image name and description: [Errno 2] No such file or directory: '/static/images/unsorted/BRIDGE.OBERLAND,SWITZ.24-12-07.jpg'
